,word,len,freq,avg
0,murrow,6,1,0.0
1,and,3,3,0.0
2,u,1,1,0.0
3,established,11,1,0.0
4,rock,4,1,0.0
5,climbing,8,1,0.0
6,routes,6,1,0.0
7,are,3,1,0.0
8,more,4,1,0.0
9,predictable,11,1,0.0
10,good,4,1,0.0
11,descriptions,12,1,0.0
12,help,4,1,0.0
13,keep,4,1,0.0
14,climbers,8,1,0.0
15,on,2,1,0.0
16,route,5,1,0.0
17,out,3,1,0.0
18,of,2,2,0.0
19,trouble,7,1,0.0
20,mccaffrery,10,1,0.1
21,april,5,1,0.0
22,november,8,1,0.0
23,was,3,1,0.0
24,an,2,1,0.0
25,americanborn,12,1,0.0
26,irish,5,1,0.0
27,writer,6,1,0.0
28,best,4,1,0.0
29,known,5,1,0.0
30,for,3,1,0.0
31,the,3,1,0.0
32,dragonrider,11,1,1.0
33,pern,4,1,0.0
34,fantasy,7,1,0.0
35,series,6,1,0.0
